TIME,NUMBER,OCCUPANCY
2018/6/1 0:00,501,0.501
2018/6/1 0:05,502,0.502
2018/6/1 0:10,504,0.504
2018/6/1 0:15,506,0.506
2018/6/1 0:20,507,0.507
2018/6/1 0:25,507,0.507
2018/6/1 0:30,506,0.506
2018/6/1 0:35,508,0.508
2018/6/1 0:40,507,0.507
2018/6/1 0:45,508,0.508
2018/6/1 0:50,509,0.509
2018/6/1 0:55,509,0.509
2018/6/1 1:00,508,0.508
2018/6/1 1:05,508,0.508
2018/6/1 1:10,508,0.508
2018/6/1 1:15,510,0.51
2018/6/1 1:20,508,0.508
2018/6/1 1:25,510,0.51
2018/6/1 1:30,512,0.512
2018/6/1 1:35,513,0.513
2018/6/1 1:40,512,0.512
2018/6/1 1:45,513,0.513
2018/6/1 1:50,513,0.513
2018/6/1 1:55,513,0.513
2018/6/1 2:00,512,0.512
2018/6/1 2:05,512,0.512
2018/6/1 2:10,511,0.511
2018/6/1 2:15,511,0.511
2018/6/1 2:20,510,0.51
2018/6/1 2:25,510,0.51
2018/6/1 2:30,510,0.51
2018/6/1 2:35,510,0.51
2018/6/1 2:40,510,0.51
2018/6/1 2:45,510,0.51
2018/6/1 2:50,509,0.509
2018/6/1 2:55,511,0.511
2018/6/1 3:00,511,0.511
2018/6/1 3:05,512,0.512
2018/6/1 3:10,513,0.513
2018/6/1 3:15,511,0.511
2018/6/1 3:20,511,0.511
2018/6/1 3:25,511,0.511
2018/6/1 3:30,511,0.511
2018/6/1 3:35,511,0.511
2018/6/1 3:40,510,0.51
2018/6/1 3:45,510,0.51
2018/6/1 3:50,510,0.51
2018/6/1 3:55,511,0.511
2018/6/1 4:00,510,0.51
2018/6/1 4:05,510,0.51
2018/6/1 4:10,510,0.51
2018/6/1 4:15,511,0.511
2018/6/1 4:20,512,0.512
2018/6/1 4:25,512,0.512
2018/6/1 4:30,513,0.513
2018/6/1 4:35,513,0.513
2018/6/1 4:40,513,0.513
2018/6/1 4:45,512,0.512
2018/6/1 4:50,512,0.512
2018/6/1 4:55,512,0.512
2018/6/1 5:00,511,0.511
2018/6/1 5:05,512,0.512
2018/6/1 5:10,511,0.511
2018/6/1 5:15,511,0.511
2018/6/1 5:20,512,0.512
2018/6/1 5:25,513,0.513
2018/6/1 5:30,515,0.515
2018/6/1 5:35,516,0.516
2018/6/1 5:40,516,0.516
2018/6/1 5:45,515,0.515
2018/6/1 5:50,515,0.515
2018/6/1 5:55,515,0.515
2018/6/1 6:00,515,0.515
2018/6/1 6:05,516,0.516
2018/6/1 6:10,518,0.518
2018/6/1 6:15,519,0.519
2018/6/1 6:20,523,0.523
2018/6/1 6:25,523,0.523
2018/6/1 6:30,523,0.523
2018/6/1 6:35,527,0.527
2018/6/1 6:40,533,0.533
2018/6/1 6:45,535,0.535
2018/6/1 6:50,542,0.542
2018/6/1 6:55,547,0.547
2018/6/1 7:00,555,0.555
2018/6/1 7:05,563,0.563
2018/6/1 7:10,563,0.563
2018/6/1 7:15,570,0.57
2018/6/1 7:20,587,0.587
2018/6/1 7:25,612,0.612
2018/6/1 7:30,630,0.63
2018/6/1 7:35,653,0.653
2018/6/1 7:40,679,0.679
2018/6/1 7:45,713,0.713
2018/6/1 7:50,744,0.744
2018/6/1 7:55,744,0.744
2018/6/1 8:00,762,0.762
2018/6/1 8:05,775,0.775
2018/6/1 8:10,785,0.785
2018/6/1 8:15,809,0.809
2018/6/1 8:20,820,0.82
2018/6/1 8:25,826,0.826
2018/6/1 8:30,835,0.835
2018/6/1 8:35,844,0.844
2018/6/1 8:40,844,0.844
2018/6/1 8:45,847,0.847
2018/6/1 8:50,847,0.847
2018/6/1 8:55,850,0.85
2018/6/1 9:00,849,0.849
2018/6/1 9:05,851,0.851
2018/6/1 9:10,850,0.85
2018/6/1 9:15,857,0.857
2018/6/1 9:20,858,0.858
2018/6/1 9:25,858,0.858
2018/6/1 9:30,857,0.857
2018/6/1 9:35,850,0.85
2018/6/1 9:40,857,0.857
2018/6/1 9:45,852,0.852
2018/6/1 9:50,853,0.853
2018/6/1 9:55,856,0.856
2018/6/1 10:00,866,0.866
2018/6/1 10:05,860,0.86
2018/6/1 10:10,860,0.86
2018/6/1 10:15,868,0.868
2018/6/1 10:20,870,0.87
2018/6/1 10:25,867,0.867
2018/6/1 10:30,863,0.863
2018/6/1 10:35,867,0.867
2018/6/1 10:40,872,0.872
2018/6/1 10:45,873,0.873
2018/6/1 10:50,873,0.873
2018/6/1 10:55,873,0.873
2018/6/1 11:00,879,0.879
2018/6/1 11:05,870,0.87
2018/6/1 11:10,877,0.877
2018/6/1 11:15,881,0.881
2018/6/1 11:20,880,0.88
2018/6/1 11:25,881,0.881
2018/6/1 11:30,872,0.872
2018/6/1 11:35,866,0.866
2018/6/1 11:40,866,0.866
2018/6/1 11:45,873,0.873
2018/6/1 11:50,865,0.865
2018/6/1 11:55,851,0.851
2018/6/1 12:00,840,0.84
2018/6/1 12:05,835,0.835
2018/6/1 12:10,822,0.822
2018/6/1 12:15,804,0.804
2018/6/1 12:20,790,0.79
2018/6/1 12:25,790,0.79
2018/6/1 12:30,781,0.781
2018/6/1 12:35,779,0.779
2018/6/1 12:40,775,0.775
2018/6/1 12:45,762,0.762
2018/6/1 12:50,751,0.751
2018/6/1 12:55,747,0.747
2018/6/1 13:00,748,0.748
2018/6/1 13:05,741,0.741
2018/6/1 13:10,741,0.741
2018/6/1 13:15,731,0.731
2018/6/1 13:20,737,0.737
2018/6/1 13:25,731,0.731
2018/6/1 13:30,736,0.736
2018/6/1 13:35,740,0.74
2018/6/1 13:40,735,0.735
2018/6/1 13:45,746,0.746
2018/6/1 13:50,755,0.755
2018/6/1 13:55,755,0.755
2018/6/1 14:00,755,0.755
2018/6/1 14:05,760,0.76
2018/6/1 14:10,764,0.764
2018/6/1 14:15,776,0.776
2018/6/1 14:20,793,0.793
2018/6/1 14:25,806,0.806
2018/6/1 14:30,815,0.815
2018/6/1 14:35,824,0.824
2018/6/1 14:40,824,0.824
2018/6/1 14:45,831,0.831
2018/6/1 14:50,847,0.847
2018/6/1 14:55,853,0.853
2018/6/1 15:00,862,0.862
2018/6/1 15:05,860,0.86
2018/6/1 15:10,859,0.859
2018/6/1 15:15,870,0.87
2018/6/1 15:20,870,0.87
2018/6/1 15:25,870,0.87
2018/6/1 15:30,876,0.876
2018/6/1 15:35,874,0.874
2018/6/1 15:40,879,0.879
2018/6/1 15:45,877,0.877
2018/6/1 15:50,875,0.875
2018/6/1 15:55,867,0.867
2018/6/1 16:00,858,0.858
2018/6/1 16:05,853,0.853
2018/6/1 16:10,853,0.853
2018/6/1 16:15,851,0.851
2018/6/1 16:20,847,0.847
2018/6/1 16:25,856,0.856
2018/6/1 16:30,851,0.851
2018/6/1 16:35,843,0.843
2018/6/1 16:40,839,0.839
2018/6/1 16:45,832,0.832
2018/6/1 16:50,830,0.83
2018/6/1 16:55,830,0.83
2018/6/1 17:00,824,0.824
2018/6/1 17:05,811,0.811
2018/6/1 17:10,796,0.796
2018/6/1 17:15,782,0.782
2018/6/1 17:20,767,0.767
2018/6/1 17:25,759,0.759
2018/6/1 17:30,739,0.739
2018/6/1 17:35,727,0.727
2018/6/1 17:40,727,0.727
2018/6/1 17:45,716,0.716
2018/6/1 17:50,696,0.696
2018/6/1 17:55,681,0.681
2018/6/1 18:00,675,0.675
2018/6/1 18:05,672,0.672
2018/6/1 18:10,665,0.665
2018/6/1 18:15,659,0.659
2018/6/1 18:20,658,0.658
2018/6/1 18:25,658,0.658
2018/6/1 18:30,652,0.652
2018/6/1 18:35,650,0.65
2018/6/1 18:40,647,0.647
2018/6/1 18:45,641,0.641
2018/6/1 18:50,642,0.642
2018/6/1 18:55,639,0.639
2018/6/1 19:00,640,0.64
2018/6/1 19:05,641,0.641
2018/6/1 19:10,641,0.641
2018/6/1 19:15,642,0.642
2018/6/1 19:20,637,0.637
2018/6/1 19:25,639,0.639
2018/6/1 19:30,640,0.64
2018/6/1 19:35,643,0.643
2018/6/1 19:40,648,0.648
2018/6/1 19:45,648,0.648
2018/6/1 19:50,647,0.647
2018/6/1 19:55,647,0.647
2018/6/1 20:00,649,0.649
2018/6/1 20:05,645,0.645
2018/6/1 20:10,641,0.641
2018/6/1 20:15,643,0.643
2018/6/1 20:20,643,0.643
2018/6/1 20:25,635,0.635
2018/6/1 20:30,634,0.634
2018/6/1 20:35,637,0.637
2018/6/1 20:40,637,0.637
2018/6/1 20:45,629,0.629
2018/6/1 20:50,628,0.628
2018/6/1 20:55,629,0.629
2018/6/1 21:00,625,0.625
2018/6/1 21:05,623,0.623
2018/6/1 21:10,619,0.619
2018/6/1 21:15,616,0.616
2018/6/1 21:20,609,0.609
2018/6/1 21:25,609,0.609
2018/6/1 21:30,608,0.608
2018/6/1 21:35,608,0.608
2018/6/1 21:40,600,0.6
2018/6/1 21:45,599,0.599
2018/6/1 21:50,600,0.6
2018/6/1 21:55,597,0.597
2018/6/1 22:00,598,0.598
2018/6/1 22:05,602,0.602
2018/6/1 22:10,602,0.602
2018/6/1 22:15,600,0.6
2018/6/1 22:20,602,0.602
2018/6/1 22:25,602,0.602
2018/6/1 22:30,600,0.6
2018/6/1 22:35,597,0.597
2018/6/1 22:40,597,0.597
2018/6/1 22:45,596,0.596
2018/6/1 22:50,590,0.59
2018/6/1 22:55,590,0.59
2018/6/1 23:00,590,0.59
2018/6/1 23:05,588,0.588
2018/6/1 23:10,589,0.589
2018/6/1 23:15,590,0.59
2018/6/1 23:20,588,0.588
2018/6/1 23:25,587,0.587
2018/6/1 23:30,589,0.589
2018/6/1 23:35,590,0.59
2018/6/1 23:40,590,0.59
2018/6/1 23:45,589,0.589
2018/6/1 23:50,590,0.59
2018/6/1 23:55,591,0.591
2018/6/2 0:00,593,0.593
2018/6/2 0:05,592,0.592
2018/6/2 0:10,593,0.593
2018/6/2 0:15,591,0.591
2018/6/2 0:20,589,0.589
2018/6/2 0:25,589,0.589
2018/6/2 0:30,586,0.586
2018/6/2 0:35,587,0.587
2018/6/2 0:40,584,0.584
2018/6/2 0:45,583,0.583
2018/6/2 0:50,584,0.584
2018/6/2 0:55,583,0.583
2018/6/2 1:00,582,0.582
2018/6/2 1:05,581,0.581
2018/6/2 1:10,581,0.581
2018/6/2 1:15,581,0.581
2018/6/2 1:20,582,0.582
2018/6/2 1:25,581,0.581
2018/6/2 1:30,581,0.581
2018/6/2 1:35,581,0.581
2018/6/2 1:40,580,0.58
2018/6/2 1:45,580,0.58
2018/6/2 1:50,579,0.579
2018/6/2 1:55,579,0.579
2018/6/2 2:00,580,0.58
2018/6/2 2:05,580,0.58
2018/6/2 2:10,579,0.579
2018/6/2 2:15,579,0.579
2018/6/2 2:20,578,0.578
2018/6/2 2:25,578,0.578
2018/6/2 2:30,578,0.578
2018/6/2 2:35,579,0.579
2018/6/2 2:40,579,0.579
2018/6/2 2:45,579,0.579
2018/6/2 2:50,579,0.579
2018/6/2 2:55,579,0.579
2018/6/2 3:00,578,0.578
2018/6/2 3:05,577,0.577
2018/6/2 3:10,577,0.577
2018/6/2 3:15,577,0.577
2018/6/2 3:20,578,0.578
2018/6/2 3:25,578,0.578
2018/6/2 3:30,578,0.578
2018/6/2 3:35,577,0.577
2018/6/2 3:40,576,0.576
2018/6/2 3:45,575,0.575
2018/6/2 3:50,573,0.573
2018/6/2 3:55,573,0.573
2018/6/2 4:00,573,0.573
2018/6/2 4:05,573,0.573
2018/6/2 4:10,573,0.573
2018/6/2 4:15,574,0.574
2018/6/2 4:20,574,0.574
2018/6/2 4:25,573,0.573
2018/6/2 4:30,573,0.573
2018/6/2 4:35,574,0.574
2018/6/2 4:40,573,0.573
2018/6/2 4:45,573,0.573
2018/6/2 4:50,573,0.573
2018/6/2 4:55,573,0.573
2018/6/2 5:00,573,0.573
2018/6/2 5:05,576,0.576
2018/6/2 5:10,575,0.575
2018/6/2 5:15,575,0.575
2018/6/2 5:20,575,0.575
2018/6/2 5:25,575,0.575
2018/6/2 5:30,576,0.576
2018/6/2 5:35,578,0.578
2018/6/2 5:40,578,0.578
2018/6/2 5:45,578,0.578
2018/6/2 5:50,577,0.577
2018/6/2 5:55,576,0.576
2018/6/2 6:00,576,0.576
2018/6/2 6:05,576,0.576
2018/6/2 6:10,577,0.577
2018/6/2 6:15,578,0.578
2018/6/2 6:20,577,0.577
2018/6/2 6:25,577,0.577
2018/6/2 6:30,580,0.58
2018/6/2 6:35,577,0.577
2018/6/2 6:40,577,0.577
2018/6/2 6:45,577,0.577
2018/6/2 6:50,580,0.58
2018/6/2 6:55,582,0.582
2018/6/2 7:00,588,0.588
2018/6/2 7:05,592,0.592
2018/6/2 7:10,592,0.592
2018/6/2 7:15,596,0.596
2018/6/2 7:20,603,0.603
2018/6/2 7:25,603,0.603
2018/6/2 7:30,622,0.622
2018/6/2 7:35,627,0.627
2018/6/2 7:40,634,0.634
2018/6/2 7:45,640,0.64
2018/6/2 7:50,654,0.654
2018/6/2 7:55,654,0.654
2018/6/2 8:00,672,0.672
2018/6/2 8:05,683,0.683
2018/6/2 8:10,691,0.691
2018/6/2 8:15,705,0.705
2018/6/2 8:20,725,0.725
2018/6/2 8:25,742,0.742
2018/6/2 8:30,755,0.755
2018/6/2 8:35,764,0.764
2018/6/2 8:40,764,0.764
2018/6/2 8:45,774,0.774
2018/6/2 8:50,788,0.788
2018/6/2 8:55,788,0.788
2018/6/2 9:00,801,0.801
2018/6/2 9:05,809,0.809
2018/6/2 9:10,811,0.811
2018/6/2 9:15,814,0.814
2018/6/2 9:20,821,0.821
2018/6/2 9:25,821,0.821
2018/6/2 9:30,816,0.816
2018/6/2 9:35,815,0.815
2018/6/2 9:40,820,0.82
2018/6/2 9:45,824,0.824
2018/6/2 9:50,826,0.826
2018/6/2 9:55,839,0.839
2018/6/2 10:00,837,0.837
2018/6/2 10:05,843,0.843
2018/6/2 10:10,843,0.843
2018/6/2 10:15,840,0.84
2018/6/2 10:20,842,0.842
2018/6/2 10:25,852,0.852
2018/6/2 10:30,856,0.856
2018/6/2 10:35,858,0.858
2018/6/2 10:40,858,0.858
2018/6/2 10:45,854,0.854
2018/6/2 10:50,862,0.862
2018/6/2 10:55,862,0.862
2018/6/2 11:00,861,0.861
2018/6/2 11:05,862,0.862
2018/6/2 11:10,859,0.859
2018/6/2 11:15,870,0.87
2018/6/2 11:20,865,0.865
2018/6/2 11:25,866,0.866
2018/6/2 11:30,876,0.876
2018/6/2 11:35,877,0.877
2018/6/2 11:40,877,0.877
2018/6/2 11:45,877,0.877
2018/6/2 11:50,868,0.868
2018/6/2 11:55,854,0.854
2018/6/2 12:00,865,0.865
2018/6/2 12:05,861,0.861
2018/6/2 12:10,843,0.843
2018/6/2 12:15,834,0.834
2018/6/2 12:20,818,0.818
2018/6/2 12:25,818,0.818
2018/6/2 12:30,805,0.805
2018/6/2 12:35,793,0.793
2018/6/2 12:40,783,0.783
2018/6/2 12:45,777,0.777
2018/6/2 12:50,781,0.781
2018/6/2 12:55,768,0.768
2018/6/2 13:00,764,0.764
2018/6/2 13:05,758,0.758
2018/6/2 13:10,758,0.758
2018/6/2 13:15,750,0.75
2018/6/2 13:20,746,0.746
2018/6/2 13:25,749,0.749
2018/6/2 13:30,750,0.75
2018/6/2 13:35,747,0.747
2018/6/2 13:40,748,0.748
2018/6/2 13:45,747,0.747
2018/6/2 13:50,752,0.752
2018/6/2 13:55,752,0.752
