TIME,NUMBER,OCCUPANCY
2018/6/1 0:00,40,0.133333333
2018/6/1 0:05,40,0.133333333
2018/6/1 0:10,41,0.136666667
2018/6/1 0:15,44,0.146666667
2018/6/1 0:20,43,0.143333333
2018/6/1 0:25,43,0.143333333
2018/6/1 0:30,42,0.14
2018/6/1 0:35,43,0.143333333
2018/6/1 0:40,43,0.143333333
2018/6/1 0:45,43,0.143333333
2018/6/1 0:50,44,0.146666667
2018/6/1 0:55,43,0.143333333
2018/6/1 1:00,44,0.146666667
2018/6/1 1:05,46,0.153333333
2018/6/1 1:10,46,0.153333333
2018/6/1 1:15,46,0.153333333
2018/6/1 1:20,45,0.15
2018/6/1 1:25,46,0.153333333
2018/6/1 1:30,45,0.15
2018/6/1 1:35,47,0.156666667
2018/6/1 1:40,47,0.156666667
2018/6/1 1:45,46,0.153333333
2018/6/1 1:50,49,0.163333333
2018/6/1 1:55,49,0.163333333
2018/6/1 2:00,48,0.16
2018/6/1 2:05,47,0.156666667
2018/6/1 2:10,49,0.163333333
2018/6/1 2:15,49,0.163333333
2018/6/1 2:20,49,0.163333333
2018/6/1 2:25,48,0.16
2018/6/1 2:30,47,0.156666667
2018/6/1 2:35,47,0.156666667
2018/6/1 2:40,47,0.156666667
2018/6/1 2:45,47,0.156666667
2018/6/1 2:50,46,0.153333333
2018/6/1 2:55,47,0.156666667
2018/6/1 3:00,48,0.16
2018/6/1 3:05,47,0.156666667
2018/6/1 3:10,46,0.153333333
2018/6/1 3:15,46,0.153333333
2018/6/1 3:20,46,0.153333333
2018/6/1 3:25,46,0.153333333
2018/6/1 3:30,46,0.153333333
2018/6/1 3:35,46,0.153333333
2018/6/1 3:40,46,0.153333333
2018/6/1 3:45,46,0.153333333
2018/6/1 3:50,46,0.153333333
2018/6/1 3:55,46,0.153333333
2018/6/1 4:00,45,0.15
2018/6/1 4:05,46,0.153333333
2018/6/1 4:10,46,0.153333333
2018/6/1 4:15,46,0.153333333
2018/6/1 4:20,46,0.153333333
2018/6/1 4:25,46,0.153333333
2018/6/1 4:30,46,0.153333333
