TIME,OCCUPANCY,RATE,INDICATOR,FS
2018/6/1 0:00,1000,0.25,0.46336032,0.36584008
2018/6/1 0:05,1000,0.25,0.45894168,0.36473542
2018/6/1 0:10,1001,0.25025,0.453351049,0.3637011
2018/6/1 0:15,1002,0.2505,0.448038204,0.36273357
2018/6/1 0:20,1004,0.251,0.441550199,0.3618291
2018/6/1 0:25,1004,0.251,0.438183267,0.360984
2018/6/1 0:30,1005,0.25125,0.43361007,0.36019453
2018/6/1 0:35,1005,0.25125,0.430674706,0.35945702
2018/6/1 0:40,1005,0.25125,0.427931542,0.3587678
2018/6/1 0:45,1005,0.25125,0.425366607,0.35812336
2018/6/1 0:50,1005,0.25125,0.42296605,0.35752022
2018/6/1 0:55,1007,0.25175,0.417895055,0.35695508
2018/6/1 1:00,1007,0.25175,0.415788957,0.35642487
2018/6/1 1:05,1007,0.25175,0.413809732,0.3559266
2018/6/1 1:10,1007,0.25175,0.411946375,0.3554575
2018/6/1 1:15,1006,0.2515,0.411590616,0.35501504
2018/6/1 1:20,1006,0.2515,0.409927952,0.35459688
2018/6/1 1:25,1006,0.2515,0.408353479,0.3542009
2018/6/1 1:30,1006,0.2515,0.406860159,0.35382533
2018/6/1 1:35,1006,0.2515,0.405440954,0.3534684
2018/6/1 1:40,1005,0.25125,0.405487761,0.3531288
2018/6/1 1:45,1005,0.25125,0.404200398,0.35280535
2018/6/1 1:50,1008,0.252,0.398797778,0.35249704
2018/6/1 1:55,1008,0.252,0.397631944,0.35220325
2018/6/1 2:00,1008,0.252,0.396521111,0.35192332
2018/6/1 2:05,1007,0.25175,0.39685005,0.351657
2018/6/1 2:10,1008,0.252,0.394460476,0.35140404
2018/6/1 2:15,1009,0.25225,0.392128563,0.35116443
2018/6/1 2:20,1011,0.25275,0.388479921,0.3509383
2018/6/1 2:25,1011,0.25275,0.387639407,0.35072586
2018/6/1 2:30,1011,0.25275,0.386854204,0.3505274
2018/6/1 2:35,1011,0.25275,0.386125816,0.3503433
2018/6/1 2:40,1011,0.25275,0.385455905,0.35017398
2018/6/1 2:45,1012,0.253,0.383477747,0.35001987
2018/6/1 2:50,1012,0.253,0.382930356,0.34988138
2018/6/1 2:55,1013,0.25325,0.381081856,0.34975898
2018/6/1 3:00,1013,0.25325,0.380663376,0.349653
2018/6/1 3:05,1013,0.25325,0.380310839,0.34956372
2018/6/1 3:10,1015,0.25375,0.377305616,0.3494913
2018/6/1 3:15,1015,0.25375,0.377087291,0.3494359
2018/6/1 3:20,1016,0.254,0.375580315,0.3493974
2018/6/1 3:25,1016,0.254,0.375494764,0.34937567
2018/6/1 3:30,1016,0.254,0.375473504,0.34937027
2018/6/1 3:35,1016,0.254,0.375514685,0.34938073
2018/6/1 3:40,1016,0.254,0.375615591,0.34940636
2018/6/1 3:45,1015,0.25375,0.377128158,0.34944627
2018/6/1 3:50,1016,0.254,0.375981496,0.3494993
2018/6/1 3:55,1016,0.254,0.376237008,0.3495642
2018/6/1 4:00,1016,0.254,0.376533465,0.3496395
2018/6/1 4:05,1016,0.254,0.376864173,0.3497235
2018/6/1 4:10,1016,0.254,0.377221772,0.34981433
2018/6/1 4:15,1015,0.25375,0.378955744,0.34991002
2018/6/1 4:20,1016,0.254,0.377985236,0.35000825
2018/6/1 4:25,1016,0.254,0.37837315,0.35010678
2018/6/1 4:30,1015,0.25375,0.380110502,0.35020304
2018/6/1 4:35,1015,0.25375,0.3804707,0.35029444
2018/6/1 4:40,1015,0.25375,0.380801182,0.3503783
2018/6/1 4:45,1016,0.254,0.379731496,0.3504518
2018/6/1 4:50,1016,0.254,0.379969094,0.35051215
2018/6/1 4:55,1016,0.254,0.380143425,0.35055643
2018/6/1 5:00,1017,0.25425,0.378886804,0.35058197
2018/6/1 5:05,1018,0.2545,0.377547426,0.35058582
2018/6/1 5:10,1018,0.2545,0.377466798,0.3505653
2018/6/1 5:15,1018,0.2545,0.377280314,0.35051784
2018/6/1 5:20,1018,0.2545,0.376977839,0.35044086
2018/6/1 5:25,1018,0.2545,0.376550413,0.35033208
2018/6/1 5:30,1017,0.25425,0.377342498,0.35018933
2018/6/1 5:35,1018,0.2545,0.375287819,0.35001075
2018/6/1 5:40,1018,0.2545,0.374438625,0.34979463
2018/6/1 5:45,1019,0.25475,0.372088871,0.34953964
2018/6/1 5:50,1019,0.25475,0.370931109,0.3492447
2018/6/1 5:55,1019,0.25475,0.369613739,0.3489091
2018/6/1 6:00,1018,0.2545,0.369479253,0.34853247
2018/6/1 6:05,1018,0.2545,0.367838428,0.34811488
2018/6/1 6:10,1018,0.2545,0.366037996,0.34765667
2018/6/1 6:15,1019,0.25475,0.362742924,0.34715876
2018/6/1 6:20,1019,0.25475,0.360637488,0.3466224
2018/6/1 6:25,1019,0.25475,0.358387988,0.34604934
2018/6/1 6:30,1019,0.25475,0.356002748,0.3454417
2018/6/1 6:35,1019,0.25475,0.353492208,0.34480214
2018/6/1 6:40,1018,0.2545,0.352195678,0.3441338
2018/6/1 6:45,1018,0.2545,0.349469941,0.3434401
2018/6/1 6:50,1019,0.25475,0.345338724,0.34272504
2018/6/1 6:55,1021,0.25525,0.339835455,0.341993
2018/6/1 7:00,1022,0.2555,0.33561225,0.34124893
2018/6/1 7:05,1022,0.2555,0.33267272,0.34049788
2018/6/1 7:10,1022,0.2555,0.329728063,0.33974552
2018/6/1 7:15,1023,0.25575,0.325504516,0.33899778
2018/6/1 7:20,1023,0.25575,0.322623265,0.3382609
2018/6/1 7:25,1025,0.25625,0.317234966,0.33754146
2018/6/1 7:30,1026,0.2565,0.31324078,0.33684626
2018/6/1 7:35,1026,0.2565,0.310652125,0.33618227
2018/6/1 7:40,1028,0.257,0.305668093,0.3355567
2018/6/1 7:45,1031,0.25775,0.299619088,0.33497682
2018/6/1 7:50,1032,0.258,0.296318101,0.33445007
2018/6/1 7:55,1032,0.258,0.294511008,0.33398384
2018/6/1 8:00,1030,0.2575,0.29547767,0.3335855
2018/6/1 8:05,1031,0.25775,0.292967992,0.3332625
2018/6/1 8:10,1033,0.25825,0.289533166,0.33302194
2018/6/1 8:15,1037,0.25925,0.283976471,0.3328709
2018/6/1 8:20,1044,0.261,0.275157778,0.33281618
2018/6/1 8:25,1051,0.26275,0.266848335,0.3328644
2018/6/1 8:30,1048,0.262,0.27107542,0.33302176
2018/6/1 8:35,1053,0.26325,0.266074188,0.33329403
2018/6/1 8:40,1053,0.26325,0.267565812,0.3336867
2018/6/1 8:45,1054,0.2635,0.268328918,0.33420467
2018/6/1 8:50,1062,0.2655,0.261214313,0.3348524
2018/6/1 8:55,1068,0.267,0.257055056,0.3356337
