TIME,OCCUPANCY,RATE,INDICATOR,FS
2018/6/1 0:00,287,0.574,0.027415226,0.58973634
2018/6/1 0:05,287,0.574,0.02058101,0.5858135
2018/6/1 0:10,287,0.574,0.014278746,0.582196
2018/6/1 0:15,287,0.574,0.008517125,0.57888883
2018/6/1 0:20,287,0.574,0.003302352,0.57589555
2018/6/1 0:25,287,0.574,-0.00136324,0.5732175
2018/6/1 0:30,287,0.574,-0.005479443,0.5708548
2018/6/1 0:35,287,0.574,-0.009049826,0.5688054
2018/6/1 0:40,287,0.574,-0.012080488,0.5670658
2018/6/1 0:45,287,0.574,-0.01458061,0.56563073
2018/6/1 0:50,287,0.574,-0.016561847,0.5644935
2018/6/1 0:55,287,0.574,-0.018039129,0.56364554
2018/6/1 1:00,287,0.574,-0.019029094,0.5630773
2018/6/1 1:05,287,0.574,-0.019551672,0.56277734
2018/6/1 1:10,287,0.574,-0.01962831,0.56273335
2018/6/1 1:15,287,0.574,-0.019282822,0.56293166
2018/6/1 1:20,287,0.574,-0.018540941,0.5633575
2018/6/1 1:25,287,0.574,-0.017430209,0.56399506
2018/6/1 1:30,287,0.574,-0.015979268,0.5648279
2018/6/1 1:35,287,0.574,-0.014218293,0.5658387
2018/6/1 1:40,287,0.574,-0.012178659,0.56700945
2018/6/1 1:45,287,0.574,-0.009892334,0.5683218
2018/6/1 1:50,287,0.574,-0.007391986,0.569757
2018/6/1 1:55,287,0.574,-0.004710801,0.571296
2018/6/1 2:00,287,0.574,-0.001882056,0.5729197
2018/6/1 2:05,287,0.574,0.001061254,0.57460916
2018/6/1 2:10,287,0.574,0.004086063,0.5763454
2018/6/1 2:15,287,0.574,0.00715993,0.5781098
2018/6/1 2:20,287,0.574,0.010251272,0.57988423
2018/6/1 2:25,287,0.574,0.013329268,0.581651
2018/6/1 2:30,287,0.574,0.016364111,0.583393
2018/6/1 2:35,287,0.574,0.019327526,0.585094
2018/6/1 2:40,287,0.574,0.022192456,0.58673847
2018/6/1 2:45,287,0.574,0.02493385,0.58831203
2018/6/1 2:50,287,0.574,0.027528049,0.5898011
2018/6/1 2:55,287,0.574,0.029953415,0.59119326
2018/6/1 3:00,287,0.574,0.032190592,0.5924774
2018/6/1 3:05,287,0.574,0.034221951,0.5936434
2018/6/1 3:10,287,0.574,0.036032456,0.59468263
2018/6/1 3:15,287,0.574,0.037609059,0.5955876
2018/6/1 3:20,287,0.574,0.038941359,0.59635234
2018/6/1 3:25,287,0.574,0.040021254,0.5969722
2018/6/1 3:30,287,0.574,0.040842857,0.5974438
2018/6/1 3:35,287,0.574,0.041402909,0.59776527
2018/6/1 3:40,287,0.574,0.041700401,0.59793603
2018/6/1 3:45,287,0.574,0.041736864,0.59795696
2018/6/1 3:50,287,0.574,0.041516028,0.5978302
2018/6/1 3:55,287,0.574,0.041043606,0.59755903
2018/6/1 4:00,287,0.574,0.040328049,0.5971483
2018/6/1 4:05,287,0.574,0.039379443,0.5966038
2018/6/1 4:10,287,0.574,0.03821,0.59593254
2018/6/1 4:15,287,0.574,0.036833624,0.5951425
2018/6/1 4:20,287,0.574,0.035266028,0.5942427
2018/6/1 4:25,287,0.574,0.033524564,0.5932431
2018/6/1 4:30,287,0.574,0.031627875,0.5921544
2018/6/1 4:35,287,0.574,0.029595645,0.5909879
2018/6/1 4:40,287,0.574,0.027449181,0.58975583
2018/6/1 4:45,287,0.574,0.025210174,0.58847064
2018/6/1 4:50,287,0.574,0.022901167,0.58714527
2018/6/1 4:55,287,0.574,0.020545296,0.585793
2018/6/1 5:00,287,0.574,0.018166132,0.58442736
2018/6/1 5:05,287,0.574,0.015787021,0.58306175
2018/6/1 5:10,287,0.574,0.013431812,0.58170986
2018/6/1 5:15,287,0.574,0.011123693,0.580385
2018/6/1 5:20,287,0.574,0.008885889,0.5791005
2018/6/1 5:25,287,0.574,0.006740523,0.57786906
2018/6/1 5:30,287,0.574,0.004709408,0.5767032
2018/6/1 5:35,287,0.574,0.002813415,0.5756149
2018/6/1 5:40,287,0.574,0.001072474,0.5746156
2018/6/1 5:45,287,0.574,-0.000495122,0.5737158
2018/6/1 5:50,287,0.574,-0.001871829,0.57292557
2018/6/1 5:55,287,0.574,-0.003041812,0.572254
2018/6/1 6:00,287,0.574,-0.003990767,0.5717093
2018/6/1 6:05,287,0.574,-0.004706098,0.5712987
2018/6/1 6:10,287,0.574,-0.005176359,0.57102877
2018/6/1 6:15,287,0.574,-0.005392683,0.5709046
2018/6/1 6:20,287,0.574,-0.005347491,0.57093054
2018/6/1 6:25,287,0.574,-0.005035192,0.5711098
2018/6/1 6:30,287,0.574,-0.004452178,0.57144445
2018/6/1 6:35,287,0.574,-0.003596516,0.5719356
2018/6/1 6:40,287,0.574,-0.002468293,0.5725832
2018/6/1 6:45,287,0.574,-0.00106946,0.57338613
2018/6/1 6:50,288,0.576,-0.002878125,0.5743422
2018/6/1 6:55,288,0.576,-0.000957812,0.5754483
2018/6/1 7:00,288,0.576,0.001215747,0.57670027
2018/6/1 7:05,288,0.576,0.003633767,0.57809305
2018/6/1 7:10,288,0.576,0.006285764,0.5796206
2018/6/1 7:15,288,0.576,0.009159896,0.5812761
2018/6/1 7:20,288,0.576,0.012243333,0.58305216
2018/6/1 7:25,289,0.578,0.012007439,0.5849403
2018/6/1 7:30,289,0.578,0.015452768,0.5869317
2018/6/1 7:35,290,0.58,0.015546552,0.589017
2018/6/1 7:40,290,0.58,0.019286379,0.5911861
2018/6/1 7:45,292,0.584,0.016145086,0.59342873
2018/6/1 7:50,293,0.586,0.016611536,0.59573436
2018/6/1 7:55,293,0.586,0.020634812,0.598092
2018/6/1 8:00,293,0.586,0.024728328,0.6004908
2018/6/1 8:05,293,0.586,0.028873208,0.6029197
2018/6/1 8:10,293,0.586,0.033050683,0.6053677
2018/6/1 8:15,294,0.588,0.033714235,0.60782397
2018/6/1 8:20,293,0.586,0.041429693,0.6102778
2018/6/1 8:25,294,0.588,0.042038776,0.6127188
2018/6/1 8:30,295,0.59,0.042605254,0.6151371
2018/6/1 8:35,296,0.592,0.043113091,0.61752295
2018/6/1 8:40,296,0.592,0.047073378,0.61986744
2018/6/1 8:45,296,0.592,0.050949324,0.622162
2018/6/1 8:50,298,0.596,0.047648826,0.6243987
2018/6/1 8:55,301,0.602,0.040814618,0.6265704
2018/6/1 9:00,302,0.604,0.040845414,0.62867063
2018/6/1 9:05,303,0.606,0.04074868,0.6306937
2018/6/1 9:10,303,0.606,0.04395132,0.6326345
2018/6/1 9:15,304,0.608,0.043567533,0.63448906
2018/6/1 9:20,308,0.616,0.032880081,0.63625413
2018/6/1 9:25,308,0.616,0.035596153,0.63792723
2018/6/1 9:30,310,0.62,0.031462419,0.6395067
2018/6/1 9:35,310,0.62,0.033858065,0.640992
2018/6/1 9:40,314,0.628,0.02290293,0.64238304
2018/6/1 9:45,315,0.63,0.021715476,0.64368075
2018/6/1 9:50,316,0.632,0.020390823,0.644887
2018/6/1 9:55,319,0.638,0.012545611,0.6460041
2018/6/1 10:00,320,0.64,0.010992656,0.6470353
2018/6/1 10:05,329,0.658,-0.015221201,0.64798445
2018/6/1 10:10,329,0.658,-0.013896505,0.6488561
2018/6/1 10:15,330,0.66,-0.015673788,0.6496553
2018/6/1 10:20,331,0.662,-0.017541329,0.65038764
2018/6/1 10:25,334,0.668,-0.025360479,0.6510592
2018/6/1 10:30,335,0.67,-0.027348507,0.6516765
2018/6/1 10:35,336,0.672,-0.029395685,0.6522461
2018/6/1 10:40,338,0.676,-0.034356065,0.6527753
2018/6/1 10:45,339,0.678,-0.036473304,0.6532711
2018/6/1 10:50,342,0.684,-0.044238392,0.65374094
2018/6/1 10:55,342,0.684,-0.043578904,0.65419203
2018/6/1 11:00,344,0.688,-0.048500218,0.65463185
2018/6/1 11:05,345,0.69,-0.050626812,0.6550675
2018/6/1 11:10,347,0.694,-0.055466859,0.655506
2018/6/1 11:15,348,0.696,-0.057537011,0.65595424
2018/6/1 11:20,346,0.692,-0.051418353,0.6564185
2018/6/1 11:25,346,0.692,-0.050715405,0.65690494
2018/6/1 11:30,347,0.694,-0.05271,0.65741926
2018/6/1 11:35,346,0.692,-0.049181358,0.6579665
2018/6/1 11:40,346,0.692,-0.048336214,0.65855134
2018/6/1 11:45,345,0.69,-0.04466971,0.6591779
2018/6/1 11:50,347,0.694,-0.049208271,0.65984946
2018/6/1 11:55,348,0.696,-0.050906853,0.66056883
2018/6/1 12:00,340,0.68,-0.027443824,0.6613382
2018/6/1 12:05,341,0.682,-0.029092595,0.66215885
2018/6/1 12:10,342,0.684,-0.030655556,0.6630316
2018/6/1 12:15,342,0.684,-0.029303655,0.6639563
2018/6/1 12:20,343,0.686,-0.030710933,0.6649323
2018/6/1 12:25,343,0.686,-0.029215598,0.6659581
2018/6/1 12:30,339,0.678,-0.016177434,0.6670317
2018/6/1 12:35,340,0.68,-0.017426029,0.6681503
2018/6/1 12:40,341,0.682,-0.018606378,0.66931045
2018/6/1 12:45,333,0.666,0.006768769,0.670508
2018/6/1 12:50,334,0.668,0.005596647,0.67173856
2018/6/1 12:55,333,0.666,0.010506006,0.672997
2018/6/1 13:00,336,0.672,0.003389375,0.67427766
2018/6/1 13:05,337,0.674,0.002336202,0.6755746
2018/6/1 13:10,337,0.674,0.004275223,0.6768815
2018/6/1 13:15,337,0.674,0.006219139,0.6781917
2018/6/1 13:20,336,0.672,0.011158557,0.67949855
2018/6/1 13:25,338,0.676,0.007092959,0.68079484
2018/6/1 13:30,341,0.682,0.000107991,0.68207365
2018/6/1 13:35,343,0.686,-0.003895262,0.68332785
2018/6/1 13:40,343,0.686,-0.002112974,0.6845505
2018/6/1 13:45,344,0.688,-0.003292587,0.6857347
2018/6/1 13:50,344,0.688,-0.001636846,0.68687385
2018/6/1 13:55,344,0.688,-5.56686E-05,0.6879617
2018/6/1 14:00,344,0.688,0.001442064,0.68899214
2018/6/1 14:05,345,0.69,-5.84783E-05,0.68995965
2018/6/1 14:10,345,0.69,0.001245217,0.6908592
2018/6/1 14:15,347,0.694,-0.003333862,0.6916863
2018/6/1 14:20,347,0.694,-0.002252089,0.69243705
2018/6/1 14:25,349,0.698,-0.007008309,0.6931082
2018/6/1 14:30,353,0.706,-0.017425878,0.69369733
2018/6/1 14:35,356,0.712,-0.024996348,0.6942026
2018/6/1 14:40,356,0.712,-0.024405829,0.69462305
2018/6/1 14:45,358,0.716,-0.029387472,0.69495857
2018/6/1 14:50,358,0.716,-0.029036592,0.6952098
2018/6/1 14:55,359,0.718,-0.031506546,0.6953783
2018/6/1 15:00,362,0.724,-0.03941105,0.6954664
2018/6/1 15:05,365,0.73,-0.047291274,0.69547737
2018/6/1 15:10,356,0.712,-0.023292978,0.6954154
2018/6/1 15:15,354,0.708,-0.017958616,0.6952853
2018/6/1 15:20,355,0.71,-0.020995972,0.69509286
2018/6/1 15:25,355,0.71,-0.021345634,0.6948446
2018/6/1 15:30,357,0.714,-0.027243978,0.6945478
2018/6/1 15:35,358,0.716,-0.030432472,0.69421035
2018/6/1 15:40,360,0.72,-0.036332083,0.6938409
2018/6/1 15:45,364,0.728,-0.047460797,0.69344854
2018/6/1 15:50,365,0.73,-0.05062589,0.6930431
2018/6/1 15:55,366,0.732,-0.053777869,0.6926346
2018/6/1 16:00,367,0.734,-0.056902316,0.6922337
2018/6/1 16:05,367,0.734,-0.057423706,0.691851
2018/6/1 16:10,367,0.734,-0.057905041,0.6914977
2018/6/1 16:15,366,0.732,-0.05575847,0.6911848
2018/6/1 16:20,365,0.73,-0.053529274,0.69092363
2018/6/1 16:25,366,0.732,-0.056386339,0.6907252
2018/6/1 16:30,366,0.732,-0.056556831,0.6906004
2018/6/1 16:35,368,0.736,-0.06173913,0.69056
2018/6/1 16:40,368,0.736,-0.061665353,0.6906143
2018/6/1 16:45,365,0.73,-0.053735479,0.6907731
2018/6/1 16:50,365,0.73,-0.053361644,0.691046
2018/6/1 16:55,365,0.73,-0.052819644,0.69144166
2018/6/1 17:00,368,0.736,-0.059826087,0.691968
2018/6/1 17:05,373,0.746,-0.071538284,0.69263244
2018/6/1 17:10,372,0.744,-0.067955376,0.6934412
2018/6/1 17:15,370,0.74,-0.061621851,0.69439983
2018/6/1 17:20,374,0.748,-0.070170254,0.69551265
2018/6/1 17:25,375,0.75,-0.070955867,0.6967831
2018/6/1 17:30,368,0.736,-0.051340489,0.6982134
2018/6/1 17:35,365,0.73,-0.041363644,0.69980454
2018/6/1 17:40,365,0.73,-0.038963836,0.7015564
2018/6/1 17:45,360,0.72,-0.022961944,0.7034674
2018/6/1 17:50,358,0.716,-0.014615642,0.7055352
2018/6/1 17:55,349,0.698,0.013976361,0.7077555
2018/6/1 18:00,352,0.704,0.008697784,0.71012324
2018/6/1 18:05,351,0.702,0.015145214,0.71263194
2018/6/1 18:10,347,0.694,0.030653602,0.7152736
2018/6/1 18:15,346,0.692,0.037629263,0.71803945
2018/6/1 18:20,347,0.694,0.038788372,0.72091913
2018/6/1 18:25,347,0.694,0.043085303,0.7239012
2018/6/1 18:30,350,0.7,0.038533143,0.7269732
2018/6/1 18:35,352,0.704,0.037104403,0.7301215
2018/6/1 18:40,353,0.706,0.038713258,0.73333156
2018/6/1 18:45,353,0.706,0.043325779,0.736588
2018/6/1 18:50,356,0.712,0.039149382,0.73987436
2018/6/1 18:55,355,0.71,0.046723521,0.7431737
2018/6/1 19:00,359,0.718,0.039649443,0.7464683
2018/6/1 19:05,360,0.72,0.041305472,0.74973994
2018/6/1 19:10,360,0.72,0.045791528,0.7529699
2018/6/1 19:15,357,0.714,0.059018627,0.7561393
2018/6/1 19:20,359,0.718,0.057421866,0.7592289
2018/6/1 19:25,360,0.72,0.058638056,0.7622194
2018/6/1 19:30,365,0.73,0.048070767,0.76509166
2018/6/1 19:35,366,0.732,0.048943306,0.7678265
2018/6/1 19:40,368,0.736,0.046746196,0.7704052
2018/6/1 19:45,365,0.73,0.05864274,0.7728092
2018/6/1 19:50,367,0.734,0.055886703,0.77502084
2018/6/1 19:55,367,0.734,0.058614169,0.7770228
2018/6/1 20:00,367,0.734,0.061033379,0.7787985
2018/6/1 20:05,367,0.734,0.063123297,0.7803325
2018/6/1 20:10,371,0.742,0.053382749,0.78161
2018/6/1 20:15,373,0.746,0.049085121,0.7826175
2018/6/1 20:20,376,0.752,0.041679122,0.7833427
2018/6/1 20:25,371,0.742,0.056299784,0.78377444
