RMSE,MAPE,R2,RAE,TRAIN,TEST
3.48181009,5.54158549,92.8474319,22.7913115,0.001313786,0.001216629
3.3850025,5.24908236,93.2421763,21.7666859,0.001301333,0.001149484
3.36553878,5.14082931,93.3132016,21.4154447,0.001231474,0.001137403
3.41070057,5.20019001,93.1279165,21.6929402,0.001210259,0.00116892
3.40455143,5.20623906,93.1561314,21.7158866,0.001231432,0.00116412
3.3503087,5.24622609,93.3789204,21.6797964,0.001223525,0.001126224
3.33303052,5.46296634,93.4479869,22.1580238,0.001191228,0.001114477
3.35377686,5.69471609,93.3678944,22.7636847,0.001188361,0.0011281
3.34529068,5.70463528,93.404605,22.7529651,0.001208363,0.001121856
3.31042527,5.50844314,93.5428328,22.1922242,0.001203638,0.001098344
3.30695749,5.29633951,93.553924,21.6906266,0.001176767,0.001096457
3.33134961,5.17948868,93.4562836,21.4934374,0.001168565,0.001113066
3.3331157,5.14309325,93.451525,21.412346,0.001180174,0.001113874
3.30429163,5.17575844,93.5675794,21.3944654,0.001180932,0.001094134
3.28508927,5.28444517,93.6420495,21.5901023,0.001165591,0.001081467
3.28720291,5.39616874,93.6324611,21.859893,0.001157738,0.001083098
3.2864681,5.41561176,93.6365946,21.9059512,0.001161411,0.001082395
3.27767497,5.33565377,93.6723365,21.6971907,0.001159521,0.001076316
3.27935788,5.2415236,93.664957,21.4838913,0.001150299,0.001077571
3.2894614,5.18551994,93.6238135,21.3819447,0.001147967,0.001084569
3.28859429,5.1666535,93.6278416,21.3344063,0.001152835,0.001083884
3.27519889,5.18312439,93.6819915,21.3326846,0.00115259,0.001074673
3.26578115,5.24015062,93.718904,21.4404894,0.001145818,0.001068395
3.26427377,5.29941844,93.7237009,21.5763809,0.001142249,0.001067579
3.26117447,5.3136105,93.73567,21.6026926,0.001142732,0.001065543
3.2571025,5.28000846,93.752297,21.5139526,0.001140301,0.001062715
3.25901068,5.2308433,93.7448145,21.4049409,0.001135728,0.001063987
3.26320993,5.19615992,93.727536,21.3372096,0.00113477,0.001066926
3.26087943,5.18508905,93.7364861,21.3064298,0.001136266,0.001065404
3.25334328,5.20276523,93.7664838,21.3267008,0.001134951,0.001060301
3.24869322,5.24189583,93.7847415,21.4053665,0.001131394,0.001057196
3.2473774,5.27616289,93.7893443,21.483308,0.001130026,0.001056413
3.24546666,5.27609967,93.7965926,21.4783617,0.001130164,0.00105518
3.24375365,5.24490983,93.8035844,21.3999097,0.001128735,0.001053991
3.24462008,5.21002477,93.8002756,21.320988,0.001126343,0.001054554
3.24553039,5.18922417,93.7963695,21.2744936,0.001125374,0.001055218
3.24338896,5.18436719,93.8045782,21.2555069,0.001125008,0.001053821
3.23954339,5.19556396,93.8198981,21.2688909,0.00112347,0.001051216
3.23730614,5.21353495,93.828831,21.3029262,0.001121345,0.001049696
3.23625289,5.22200369,93.8327923,21.3198206,0.001120367,0.001049022
3.23493502,5.20924491,93.8378185,21.2859945,0.001119791,0.001048168
3.23402905,5.18418695,93.8414094,21.22436,0.001118581,0.001047557
3.23411606,5.16186167,93.841035,21.1728466,0.001117215,0.001047621
3.23360689,5.15161965,93.8428435,21.1479358,0.001116566,0.001047313
3.2317559,5.15490406,93.8499444,21.1510579,0.001115829,0.001046105
3.22962071,5.17128939,93.8583814,21.1836606,0.001114611,0.00104467
3.2282205,5.1910634,93.8639566,21.2264188,0.001113423,0.001043722
3.22715146,5.2019974,93.8680785,21.2498204,0.001112697,0.00104302
3.22591887,5.19907084,93.872774,21.2406429,0.001111862,0.001042222
3.22508721,5.18783718,93.8759495,21.2129002,0.001110803,0.001041682
3.22443653,5.1745006,93.8784264,21.1803443,0.001109834,0.00104126
3.22343759,5.16569424,93.8822176,21.1567622,0.001109096,0.001040615
3.22179355,5.1639608,93.8885493,21.1470334,0.001108302,0.001039538
3.22033897,5.16844314,93.8942302,21.1525089,0.001107314,0.001038572
3.21924119,5.17283546,93.89856,21.1588896,0.001106476,0.001037835
3.21837386,5.17204687,93.9019502,21.154326,0.001105742,0.001037259
3.21755989,5.16592617,93.905092,21.1377663,0.001104918,0.001036725
3.2167986,5.15715872,93.9080116,21.115275,0.001104061,0.001036228
3.2159187,5.14980422,93.9114039,21.0953033,0.001103227,0.001035651
3.21481983,5.14755881,93.9156459,21.0864786,0.001102466,0.001034929
3.21368194,5.14843463,93.920048,21.0852525,0.001101672,0.001034181
3.21262648,5.15147068,93.9241454,21.0895856,0.001100886,0.001033484
3.21164509,5.15371862,93.9279875,21.0923968,0.001100154,0.00103283
