RMSE,MAPE,R2,RAE,TRAIN,TEST
53.78588185,112.7768403,-1997.824704,448.3421604,0.403541969,0.356833341
49.1971448,102.620618,-1691.02374,408.939618,0.345979817,0.304647468
44.7886683,93.1699059,-1421.905884,371.262717,0.295370322,0.258871369
40.7325235,84.2464752,-1191.613858,335.394782,0.251421745,0.219699425
36.924119,75.9293015,-995.2988153,301.9561195,0.213847171,0.186306866
33.7366802,69.0165538,-831.4380866,273.6980076,0.181966425,0.158434665
31.3269176,64.1759967,-699.8921978,252.623547,0.155652234,0.136059122
29.4607694,61.3136018,-595.1900778,238.7515985,0.134112342,0.118249631
28.2315554,59.2083094,-512.274032,227.9515428,0.117672935,0.104145874
27.2019653,56.8155931,-440.3044905,216.8661286,0.104459845,0.091904082
26.1398863,53.960687,-379.6376483,205.271263,0.092753466,0.081584845
24.7138638,50.2640716,-318.8147204,191.012553,0.082940381,0.071239056
22.9694104,46.1191712,-258.8899717,175.0777345,0.07374558,0.06104605
21.15928785,42.0726243,-203.4827787,159.500623,0.064245632,0.051621459
19.6258142,38.3593818,-156.1511548,145.4800355,0.054776494,0.043570501
18.3008306,35.1175297,-115.8815249,133.6427675,0.047056208,0.036720762
17.3494585,33.0704844,-88.0555926,126.3291679,0.040440128,0.031987661
16.42599835,31.5530997,-65.65673159,120.7247767,0.035563419,0.028177685
15.8279069,30.4875955,-52.93682106,116.6983315,0.032587675,0.02601407
15.5864176,30.1867916,-47.92026921,115.0857794,0.03000976,0.02516077
15.45788975,30.3575424,-45.91913272,114.826204,0.029453696,0.024820381
15.6060991,30.8214584,-48.81956704,115.665292,0.028673166,0.025313738
15.7911364,31.1682332,-51.72826698,116.2226267,0.029411915,0.025808497
15.9645888,31.2656151,-54.54086703,116.2800823,0.030096238,0.026286911
16.0936319,31.2701996,-57.44163843,116.3181144,0.031016139,0.026780324
16.1015448,31.2263386,-58.26415504,116.3472216,0.031064004,0.026920232
15.8331891,30.707658,-53.78608198,114.7590071,0.030866681,0.026158526
15.56228,30.1320017,-49.18601796,113.1262786,0.030439306,0.025376069
15.16066195,29.3527486,-41.617942,110.6018138,0.029415756,0.024088763
14.8314751,28.7619681,-34.7834215,108.4238175,0.028030327,0.022926233
14.4656172,27.9506948,-26.9638965,105.4992151,0.026593241,0.021596157
14.1241375,27.220385,-19.96040115,102.9077884,0.025251402,0.020404884
13.77156495,26.5536131,-13.327559,100.6002244,0.023957164,0.019276659
13.52229735,25.9555314,-9.088498437,98.7555006,0.022807232,0.018555608
13.3368818,25.5829233,-6.2436993,97.5236724,0.022005152,0.018071717
13.1309604,25.1364982,-2.940213,96.1306245,0.021088805,0.017509804
13.06792285,24.8862645,-2.30239754,95.3279754,0.020803233,0.017401314
12.9707317,24.5166498,-1.1493159,94.3637554,0.020432798,0.017205178
12.8395578,24.2492758,0.90336314,93.4455475,0.020429826,0.016856025
12.9074363,24.0676997,-0.54679102,93.2195134,0.02016453,0.017102691
12.78440905,23.8006643,1.344934186,92.2823344,0.019960882,0.016780914
12.87877705,23.7385375,-0.399721922,92.533286,0.020027604,0.017077674
12.8168607,23.4076381,0.42939144,91.905617,0.019772847,0.016936645
12.70186315,23.0496193,2.36358179,90.7282696,0.019851095,0.016607646
12.6861249,23.0023897,2.38653117,90.583735,0.01926801,0.016603742
12.5333782,22.7245664,4.77936979,89.6786291,0.019229624,0.016196728
12.40481615,22.444688,6.922485349,88.727199,0.018667499,0.01583219
12.3164831,22.25697,8.223710083,88.0548125,0.018204625,0.015610856
12.1676116,22.0550057,10.68309681,87.0657759,0.017821135,0.015192522
12.0672027,22.1037217,12.44488746,86.7376243,0.017478551,0.014892848
12.00894305,22.0759349,13.37025917,86.2040015,0.017354782,0.014735444
11.90693945,21.9949473,14.88243818,85.6673543,0.017131746,0.014478228
11.7782739,21.9737426,16.79406211,85.024152,0.016858655,0.014153067
11.6972846,22.1393703,17.93199949,84.7607571,0.016825259,0.013959507
11.65039335,22.1522786,18.5788086,84.4453167,0.016549649,0.013849487
11.4763113,21.9753715,20.74476593,83.2687571,0.016488509,0.013481065
11.4213348,22.0272131,21.49956896,83.1336717,0.016301114,0.013352675
11.3296575,22.0899676,22.80328684,83.0020713,0.016064807,0.013130916
11.25247007,21.9691134,23.77050896,82.3088942,0.015639424,0.012966395
11.14519927,21.8640744,25.15482362,81.7620584,0.015666974,0.012730927
11.08130282,21.7013082,25.89723243,81.232623,0.015373976,0.012604646
11.12076446,21.6463406,25.36867335,81.2772129,0.015242784,0.012694553
11.00515544,21.4583166,26.92287921,80.4084588,0.015172095,0.012430187
10.93011876,21.3198589,27.84629061,79.9694742,0.015056876,0.012273117
10.9894102,21.3444871,26.97476533,80.141314,0.014946129,0.012421362
10.83959318,21.0911057,29.12625726,79.0868261,0.014569926,0.012055399
10.767068,20.8733474,29.969151,78.5540186,0.01460768,0.011912025
10.72985344,20.6464812,30.46565983,77.9901444,0.01445924,0.011827571
10.6468409,20.4627266,31.52431377,77.3979673,0.014204096,0.011647498
10.5967184,20.2411219,32.09168064,76.8425845,0.014342711,0.01155099
10.53459805,20.0835368,32.91622054,76.3765094,0.013712556,0.011410739
10.61659875,19.9587266,31.7276346,76.3312114,0.013656325,0.011612913
10.5759116,19.7458987,32.1583031,75.8787545,0.013544532,0.011539658
10.41386125,19.4946865,34.38314785,74.9171452,0.013483076,0.011161219
10.46166734,19.43212045,33.79483122,74.7588187,0.013526386,0.01126129
10.37533856,19.3709167,34.74495601,74.3590832,0.013158777,0.011099676
10.34483325,19.2834968,35.31034463,74.0157141,0.013194842,0.011003506
10.3011636,19.17449465,35.7723069,73.467327,0.013104794,0.010924927
10.23068277,19.0271108,36.63802407,73.0065052,0.012874686,0.010777672
10.22453914,19.1062809,36.68166232,72.9787931,0.012860935,0.010770249
10.122936,18.9176798,37.8116922,72.2074669,0.012671474,0.010578034
10.13236715,18.96748975,37.7500439,72.2852735,0.012583262,0.01058852
10.09116155,18.8438678,38.3381504,71.7510457,0.0125065,0.010488485
9.99402525,18.7241455,39.3223187,71.3468738,0.012226493,0.010321081
9.95755646,18.6648239,39.7397754,70.8485967,0.012456583,0.010250074
9.82865224,18.4421242,41.2557676,69.8601994,0.012226807,0.009992208
9.86445533,18.5102977,40.9078224,70.1444869,0.012064603,0.010051392
9.82606712,18.384707,41.4914377,69.6827367,0.011936825,0.009952121
9.80000953,18.2909286,41.7378443,69.5909293,0.011678015,0.009910208
9.7571766,18.2722945,42.2947818,69.2286426,0.01199284,0.009815475
9.70554636,18.0877626,42.7603919,68.7135411,0.011668315,0.009736276
9.61478757,17.9819998,43.9264241,68.1096312,0.011677922,0.009537938
9.6784771,18.0432583,43.1598869,68.3287881,0.011325743,0.009668323
9.60804336,17.9105285,43.9683877,67.8849011,0.01134895,0.0095308
9.57596523,17.7952571,44.451712,67.5402117,0.011462064,0.009448588
9.51857541,17.667998,45.0758307,66.9770536,0.011452459,0.009342427
9.56772204,17.7369638,44.5848504,67.2216004,0.011207814,0.009425942
9.45141171,17.57002925,45.9033646,66.7934539,0.011264586,0.009201667
9.49020817,17.5470495,45.5261221,66.7341275,0.010796046,0.009265834
9.51514894,17.5349752,45.184338,66.7548602,0.010886696,0.009323971
9.38234588,17.26606745,46.7802488,65.7720812,0.011039304,0.009052511
9.45354916,17.4241127,45.9902526,66.3221846,0.010806699,0.009186887
9.3328009,17.1520547,47.3614781,65.3122153,0.01069047,0.008953646
9.2779344,17.0352258,47.9629342,64.9279877,0.010818571,0.00885134
9.29555885,17.058791,47.7920518,64.9744687,0.01065206,0.008880407
9.30066488,17.0747323,47.8290633,64.9826591,0.010579141,0.008874111
9.20869948,16.8541072,48.7724541,64.2034269,0.010498531,0.008713643
9.23940043,16.9507281,48.4793526,64.4087237,0.010282437,0.008763499
9.18852385,16.8148831,49.0154492,63.9539954,0.010331409,0.008672311
9.2421109,16.9513468,48.4365189,64.4490712,0.010231921,0.008770785
9.09491821,16.59638325,49.915509,63.3539269,0.010337711,0.008519214
9.08439237,16.5946098,50.174532,63.287964,0.01000261,0.008475154
9.09464845,16.5539497,50.0144816,63.1389748,0.009916994,0.008502378
9.0033783,16.4330432,51.1141612,62.5892018,0.010048678,0.008315326
9.0372276,16.3794526,50.5921074,62.703157,0.009747169,0.008404126
9.03567335,16.4154071,50.8260508,62.6571589,0.009771975,0.008364333
8.97134195,16.3229314,51.4563009,62.2225485,0.009752247,0.008257129
8.99901405,16.2867939,51.1026209,62.1903647,0.009708784,0.00831729
