TIME,OCCUPANCY,RATE
01/06/2018 00:00,30,0.075
01/06/2018 00:05,30,0.075
01/06/2018 00:10,31,0.0775
01/06/2018 00:15,31,0.0775
01/06/2018 00:20,31,0.0775
01/06/2018 00:25,31,0.0775
01/06/2018 00:30,32,0.08
01/06/2018 00:35,31,0.0775
01/06/2018 00:40,31,0.0775
01/06/2018 00:45,31,0.0775
01/06/2018 00:50,31,0.0775
01/06/2018 00:55,31,0.0775
01/06/2018 01:00,31,0.0775
01/06/2018 01:05,31,0.0775
01/06/2018 01:10,31,0.0775
01/06/2018 01:15,32,0.08
01/06/2018 01:20,32,0.08
01/06/2018 01:25,30,0.075
01/06/2018 01:30,30,0.075
01/06/2018 01:35,30,0.075
01/06/2018 01:40,30,0.075
01/06/2018 01:45,30,0.075
01/06/2018 01:50,30,0.075
01/06/2018 01:55,30,0.075
01/06/2018 02:00,30,0.075
01/06/2018 02:05,30,0.075
01/06/2018 02:10,30,0.075
01/06/2018 02:15,30,0.075
01/06/2018 02:20,30,0.075
01/06/2018 02:25,30,0.075
01/06/2018 02:30,30,0.075
01/06/2018 02:35,30,0.075
01/06/2018 02:40,30,0.075
01/06/2018 02:45,30,0.075
01/06/2018 02:50,30,0.075
01/06/2018 02:55,30,0.075
01/06/2018 03:00,30,0.075
01/06/2018 03:05,30,0.075
01/06/2018 03:10,30,0.075
01/06/2018 03:15,30,0.075
01/06/2018 03:20,30,0.075
01/06/2018 03:25,30,0.075
01/06/2018 03:30,30,0.075
01/06/2018 03:35,30,0.075
01/06/2018 03:40,30,0.075
01/06/2018 03:45,30,0.075
01/06/2018 03:50,30,0.075
01/06/2018 03:55,30,0.075
01/06/2018 04:00,30,0.075
01/06/2018 04:05,30,0.075
01/06/2018 04:10,30,0.075
01/06/2018 04:15,30,0.075
01/06/2018 04:20,30,0.075
01/06/2018 04:25,30,0.075
01/06/2018 04:30,30,0.075
01/06/2018 04:35,30,0.075
01/06/2018 04:40,30,0.075
01/06/2018 04:45,30,0.075
01/06/2018 04:50,30,0.075
01/06/2018 04:55,30,0.075
01/06/2018 05:00,30,0.075
01/06/2018 05:05,30,0.075
01/06/2018 05:10,30,0.075
01/06/2018 05:15,30,0.075
01/06/2018 05:20,30,0.075
01/06/2018 05:25,30,0.075
01/06/2018 05:30,30,0.075
01/06/2018 05:35,30,0.075
01/06/2018 05:40,30,0.075
01/06/2018 05:45,30,0.075
01/06/2018 05:50,30,0.075
01/06/2018 05:55,30,0.075
01/06/2018 06:00,30,0.075
01/06/2018 06:05,30,0.075
01/06/2018 06:10,30,0.075
01/06/2018 06:15,30,0.075
01/06/2018 06:20,30,0.075
01/06/2018 06:25,30,0.075
01/06/2018 06:30,30,0.075
01/06/2018 06:35,30,0.075
01/06/2018 06:40,30,0.075
01/06/2018 06:45,30,0.075
01/06/2018 06:50,30,0.075
01/06/2018 06:55,30,0.075
01/06/2018 07:00,32,0.08
01/06/2018 07:05,32,0.08
01/06/2018 07:10,32,0.08
01/06/2018 07:15,32,0.08
01/06/2018 07:20,32,0.08
01/06/2018 07:25,33,0.0825
01/06/2018 07:30,35,0.0875
01/06/2018 07:35,41,0.1025
01/06/2018 07:40,46,0.115
01/06/2018 07:45,54,0.135
01/06/2018 07:50,61,0.1525
01/06/2018 07:55,61,0.1525
01/06/2018 08:00,68,0.17
01/06/2018 08:05,78,0.195
01/06/2018 08:10,85,0.2125
01/06/2018 08:15,98,0.245
01/06/2018 08:20,108,0.27
01/06/2018 08:25,117,0.2925
01/06/2018 08:30,143,0.3575
01/06/2018 08:35,159,0.3975
01/06/2018 08:40,159,0.3975
01/06/2018 08:45,171,0.4275
01/06/2018 08:50,186,0.465
01/06/2018 08:55,210,0.525
01/06/2018 09:00,222,0.555
01/06/2018 09:05,238,0.595
01/06/2018 09:10,249,0.6225
01/06/2018 09:15,262,0.655
01/06/2018 09:20,265,0.6625
01/06/2018 09:25,265,0.6625
01/06/2018 09:30,271,0.6775
01/06/2018 09:35,280,0.7
01/06/2018 09:40,291,0.7275
01/06/2018 09:45,293,0.7325
01/06/2018 09:50,301,0.7525
01/06/2018 09:55,309,0.7725
01/06/2018 10:00,315,0.7875
01/06/2018 10:05,319,0.7975
01/06/2018 10:10,319,0.7975
01/06/2018 10:15,320,0.8
01/06/2018 10:20,323,0.8075
01/06/2018 10:25,329,0.8225
01/06/2018 10:30,336,0.84
01/06/2018 10:35,343,0.8575
01/06/2018 10:40,350,0.875
01/06/2018 10:45,361,0.9025
01/06/2018 10:50,363,0.9075
01/06/2018 10:55,363,0.9075
01/06/2018 11:00,371,0.9275
01/06/2018 11:05,381,0.9525
01/06/2018 11:10,381,0.9525
01/06/2018 11:15,380,0.95
01/06/2018 11:20,379,0.9475
01/06/2018 11:25,379,0.9475
01/06/2018 11:30,379,0.9475
01/06/2018 11:35,375,0.9375
01/06/2018 11:40,375,0.9375
01/06/2018 11:45,370,0.925
01/06/2018 11:50,375,0.9375
01/06/2018 11:55,376,0.94
01/06/2018 12:00,376,0.94
01/06/2018 12:05,375,0.9375
01/06/2018 12:10,380,0.95
01/06/2018 12:15,378,0.945
01/06/2018 12:20,377,0.9425
01/06/2018 12:25,377,0.9425
01/06/2018 12:30,376,0.94
01/06/2018 12:35,377,0.9425
01/06/2018 12:40,373,0.9325
01/06/2018 12:45,372,0.93
01/06/2018 12:50,374,0.935
01/06/2018 12:55,374,0.935
01/06/2018 13:00,376,0.94
01/06/2018 13:05,377,0.9425
01/06/2018 13:10,377,0.9425
01/06/2018 13:15,377,0.9425
01/06/2018 13:20,379,0.9475
01/06/2018 13:25,380,0.95
01/06/2018 13:30,379,0.9475
01/06/2018 13:35,377,0.9425
01/06/2018 13:40,377,0.9425
01/06/2018 13:45,374,0.935
01/06/2018 13:50,376,0.94
01/06/2018 13:55,376,0.94
01/06/2018 14:00,375,0.9375
01/06/2018 14:05,379,0.9475
01/06/2018 14:10,379,0.9475
01/06/2018 14:15,379,0.9475
01/06/2018 14:20,374,0.935
01/06/2018 14:25,367,0.9175
01/06/2018 14:30,376,0.94
01/06/2018 14:35,377,0.9425
01/06/2018 14:40,377,0.9425
01/06/2018 14:45,378,0.945
01/06/2018 14:50,377,0.9425
01/06/2018 14:55,376,0.94
01/06/2018 15:00,376,0.94
01/06/2018 15:05,374,0.935
01/06/2018 15:10,369,0.9225
01/06/2018 15:15,367,0.9175
01/06/2018 15:20,367,0.9175
01/06/2018 15:25,367,0.9175
01/06/2018 15:30,367,0.9175
01/06/2018 15:35,371,0.9275
01/06/2018 15:40,370,0.925
01/06/2018 15:45,371,0.9275
01/06/2018 15:50,370,0.925
01/06/2018 15:55,369,0.9225
01/06/2018 16:00,371,0.9275
01/06/2018 16:05,372,0.93
01/06/2018 16:10,372,0.93
01/06/2018 16:15,368,0.92
01/06/2018 16:20,367,0.9175
01/06/2018 16:25,363,0.9075
01/06/2018 16:30,368,0.92
01/06/2018 16:35,364,0.91
01/06/2018 16:40,366,0.915
01/06/2018 16:45,365,0.9125
01/06/2018 16:50,359,0.8975
01/06/2018 16:55,359,0.8975
01/06/2018 17:00,358,0.895
01/06/2018 17:05,351,0.8775
01/06/2018 17:10,348,0.87
01/06/2018 17:15,342,0.855
01/06/2018 17:20,335,0.8375
01/06/2018 17:25,329,0.8225
01/06/2018 17:30,319,0.7975
01/06/2018 17:35,311,0.7775
01/06/2018 17:40,311,0.7775
01/06/2018 17:45,307,0.7675
01/06/2018 17:50,298,0.745
01/06/2018 17:55,293,0.7325
01/06/2018 18:00,289,0.7225
01/06/2018 18:05,285,0.7125
01/06/2018 18:10,286,0.715
01/06/2018 18:15,286,0.715
01/06/2018 18:20,284,0.71
01/06/2018 18:25,284,0.71
01/06/2018 18:30,281,0.7025
01/06/2018 18:35,279,0.6975
01/06/2018 18:40,278,0.695
01/06/2018 18:45,278,0.695
01/06/2018 18:50,270,0.675
01/06/2018 18:55,266,0.665
01/06/2018 19:00,264,0.66
01/06/2018 19:05,266,0.665
01/06/2018 19:10,266,0.665
01/06/2018 19:15,268,0.67
01/06/2018 19:20,266,0.665
01/06/2018 19:25,272,0.68
01/06/2018 19:30,275,0.6875
