TIME,NUMBER,OCCUPANCY
2018/6/1 0:00,17,0.060714286
2018/6/1 0:05,17,0.060714286
2018/6/1 0:10,18,0.064285714
2018/6/1 0:15,18,0.064285714
2018/6/1 0:20,18,0.064285714
2018/6/1 0:25,18,0.064285714
2018/6/1 0:30,18,0.064285714
2018/6/1 0:35,18,0.064285714
2018/6/1 0:40,17,0.060714286
2018/6/1 0:45,17,0.060714286
2018/6/1 0:50,17,0.060714286
2018/6/1 0:55,17,0.060714286
2018/6/1 1:00,17,0.060714286
2018/6/1 1:05,17,0.060714286
2018/6/1 1:10,17,0.060714286
2018/6/1 1:15,17,0.060714286
2018/6/1 1:20,15,0.053571429
2018/6/1 1:25,15,0.053571429
2018/6/1 1:30,15,0.053571429
2018/6/1 1:35,15,0.053571429
2018/6/1 1:40,15,0.053571429
2018/6/1 1:45,15,0.053571429
2018/6/1 1:50,15,0.053571429
2018/6/1 1:55,15,0.053571429
2018/6/1 2:00,15,0.053571429
2018/6/1 2:05,15,0.053571429
2018/6/1 2:10,15,0.053571429
2018/6/1 2:15,15,0.053571429
2018/6/1 2:20,14,0.05
2018/6/1 2:25,14,0.05
2018/6/1 2:30,15,0.053571429
2018/6/1 2:35,16,0.057142857
2018/6/1 2:40,16,0.057142857
2018/6/1 2:45,16,0.057142857
2018/6/1 2:50,16,0.057142857
2018/6/1 2:55,16,0.057142857
2018/6/1 3:00,16,0.057142857
2018/6/1 3:05,16,0.057142857
2018/6/1 3:10,16,0.057142857
2018/6/1 3:15,18,0.064285714
2018/6/1 3:20,18,0.064285714
2018/6/1 3:25,18,0.064285714
2018/6/1 3:30,17,0.060714286
2018/6/1 3:35,17,0.060714286
2018/6/1 3:40,16,0.057142857
2018/6/1 3:45,16,0.057142857
2018/6/1 3:50,15,0.053571429
2018/6/1 3:55,15,0.053571429
2018/6/1 4:00,15,0.053571429
2018/6/1 4:05,15,0.053571429
2018/6/1 4:10,15,0.053571429
2018/6/1 4:15,16,0.057142857
2018/6/1 4:20,16,0.057142857
2018/6/1 4:25,16,0.057142857
2018/6/1 4:30,16,0.057142857
2018/6/1 4:35,16,0.057142857
2018/6/1 4:40,15,0.053571429
2018/6/1 4:45,15,0.053571429
2018/6/1 4:50,15,0.053571429
2018/6/1 4:55,15,0.053571429
2018/6/1 5:00,15,0.053571429
2018/6/1 5:05,16,0.057142857
2018/6/1 5:10,16,0.057142857
2018/6/1 5:15,16,0.057142857
2018/6/1 5:20,16,0.057142857
2018/6/1 5:25,16,0.057142857
2018/6/1 5:30,15,0.053571429
2018/6/1 5:35,16,0.057142857
2018/6/1 5:40,16,0.057142857
2018/6/1 5:45,16,0.057142857
2018/6/1 5:50,16,0.057142857
2018/6/1 5:55,16,0.057142857
2018/6/1 6:00,17,0.060714286
2018/6/1 6:05,18,0.064285714
2018/6/1 6:10,18,0.064285714
2018/6/1 6:15,19,0.067857143
2018/6/1 6:20,20,0.071428571
2018/6/1 6:25,20,0.071428571
2018/6/1 6:30,20,0.071428571
2018/6/1 6:35,20,0.071428571
2018/6/1 6:40,19,0.067857143
2018/6/1 6:45,17,0.060714286
2018/6/1 6:50,17,0.060714286
2018/6/1 6:55,19,0.067857143
2018/6/1 7:00,20,0.071428571
2018/6/1 7:05,20,0.071428571
2018/6/1 7:10,20,0.071428571
2018/6/1 7:15,23,0.082142857
2018/6/1 7:20,26,0.092857143
2018/6/1 7:25,30,0.107142857
2018/6/1 7:30,32,0.114285714
2018/6/1 7:35,37,0.132142857
2018/6/1 7:40,41,0.146428571
2018/6/1 7:45,46,0.164285714
2018/6/1 7:50,54,0.192857143
2018/6/1 7:55,54,0.192857143
2018/6/1 8:00,58,0.207142857
2018/6/1 8:05,72,0.257142857
2018/6/1 8:10,89,0.317857143
2018/6/1 8:15,100,0.357142857
2018/6/1 8:20,116,0.414285714
2018/6/1 8:25,127,0.453571429
2018/6/1 8:30,136,0.485714286
2018/6/1 8:35,147,0.525
2018/6/1 8:40,147,0.525
2018/6/1 8:45,151,0.539285714
2018/6/1 8:50,165,0.589285714
2018/6/1 8:55,184,0.657142857
2018/6/1 9:00,190,0.678571429
2018/6/1 9:05,202,0.721428571
2018/6/1 9:10,210,0.75
2018/6/1 9:15,214,0.764285714
2018/6/1 9:20,218,0.778571429
2018/6/1 9:25,218,0.778571429
2018/6/1 9:30,225,0.803571429
2018/6/1 9:35,232,0.828571429
2018/6/1 9:40,229,0.817857143
2018/6/1 9:45,233,0.832142857
2018/6/1 9:50,232,0.828571429
2018/6/1 9:55,237,0.846428571
2018/6/1 10:00,237,0.846428571
2018/6/1 10:05,238,0.85
2018/6/1 10:10,238,0.85
2018/6/1 10:15,241,0.860714286
2018/6/1 10:20,244,0.871428571
2018/6/1 10:25,248,0.885714286
2018/6/1 10:30,250,0.892857143
2018/6/1 10:35,252,0.9
2018/6/1 10:40,250,0.892857143
2018/6/1 10:45,255,0.910714286
2018/6/1 10:50,260,0.928571429
2018/6/1 10:55,260,0.928571429
2018/6/1 11:00,260,0.928571429
2018/6/1 11:05,260,0.928571429
2018/6/1 11:10,263,0.939285714
2018/6/1 11:15,267,0.953571429
2018/6/1 11:20,266,0.95
2018/6/1 11:25,264,0.942857143
2018/6/1 11:30,262,0.935714286
2018/6/1 11:35,263,0.939285714
2018/6/1 11:40,263,0.939285714
2018/6/1 11:45,260,0.928571429
2018/6/1 11:50,257,0.917857143
2018/6/1 11:55,258,0.921428571
2018/6/1 12:00,255,0.910714286
2018/6/1 12:05,252,0.9
2018/6/1 12:10,252,0.9
2018/6/1 12:15,249,0.889285714
2018/6/1 12:20,241,0.860714286
2018/6/1 12:25,241,0.860714286
